id;category;trigger_type;trigger_field;trigger_value_min;trigger_value_max;trigger_2_type;trigger_2_field;trigger_2_value_min;trigger_2_value_max;text;recommendation
quality_1;quality;range;accuracy;85;100;;;;;Ты решаешь задачи с ювелирной точностью - ошибки редкость. Ты в топе перфекционистов!;В дальнейшем попробуй свои силы в олимпиадных задачах - у тебя отличный потенциал для соревнований.
quality_2;quality;range;accuracy;70;84;;;;;Точность в решении задач выше среднего. Ошибки бывают, но редко. Ты уверенно держишь планку.;В дальнейшем попробуй решать больше задач повышенной сложности - у тебя есть потенциал.
quality_3;quality;range;accuracy;55;69;;;;;Твоя точность решения задач сейчас средняя. Бывают и взлёты, и падения. Но ты движешься вперёд.;В дальнейшем сосредоточься на темах, где ошибок больше всего. Подтяни их - и общая точность вырастет.
quality_4;quality;range;accuracy;40;54;;;;;Ты только начинаешь набивать руку. Ошибки - не враги, а учителя. С каждой задачей ты разбираешься в теме все лучше.;В дальнейшем начни с лёгких задач, чтобы войти в ритм. Постепенно усложняй.
quality_5;quality;range;points_ratio;85;100;;;;;Ты почти у финиша! Осталось совсем немного до полного завершения курса.;В дальнейшем сосредоточься на оставшихся темах - и ты точно завершишь курс на отлично!
quality_6;quality;range;points_ratio;60;84;;;;;Ты прошёл больше половины курса. Хороший темп - не сбавляй обороты.;Поставь цель на следующий триместр  - пройти еще 20% курса. Разбей на небольшие шаги.
quality_7;quality;range;points_ratio;30;59;;;;;Ты в процессе. Начало положено - теперь главное не останавливаться.;Начни следующий период с лёгких тем - это поможет войти в ритм и поверить в себя.
quality_8;quality;range;points_ratio;1;29;;;;;Ты только в начале пути. Впереди много интересного.;Поставь себе цель в дальнейшем — проходить одну тему в две недели. Маленькие победы ведут к большим результатам.
persistence_1;persistence;range;avg_attempts;2;999;;;;;Ты не сдаёшься даже если задача не поддаётся с первого раза. Ты возвращаешься и добиваешься своего - это качество чемпионов.;В дальнейшем попробуй после второй неудачной попытки делать короткий перерыв и возвращаться с свежей головой.
persistence_2;persistence;range;avg_attempts;01.мар;01.сен;;;;;Ты обычно решаешь задачи с 1-2 попыток, проявляю упорство и трудолюбие. Пусть не всегда идеально, но ты движешься вперед.;Попробуй решать задачи на время или объяснять решение другу - это поможет быстрее выходить на чистое решение.
persistence_3;persistence;range;avg_attempts;1;01.фев;;;;;Ты - мастер одного удара! Большинство задач ты решаешь с первой попытки.;Попробуй заглядывать в задачи до того, как посмотришь видео - это отличный способ развить исследовательский подход.
persistence_4;persistence;range;video_percent;80;100;;;;;Ты внимательно смотришь видеоуроки. Такой подход помогает глубоко погрузиться тему.;Попробуй делать короткие конспекты во время просмотра - это ещё больше увеличит глубину понимания.
persistence_5;persistence;range;video_percent;20;79;;;;;Ты смотришь видео выборочно. Ты сам решаешь, что важно, а что можно пропустить.;Попробуй посмотреть хотя бы 3 видео целиком - возможно, ты найдёшь в них новые идеи.
persistence_6;persistence;range;video_percent;1;19;;;;;Ты почти не смотришь видео, но при этом справляешься с задачами. У тебя свой уникальный стиль обучения.;Попробуй посмотреть хотя бы 5 видео целиком - возможно, ты найдёшь новые приёмы решения.
totem_1;totem;exact;totem;Дракон;;;;;;Ты - Дракон! Редкий тип ученика, который сочетает любознательность, настойчивость и внимательность. Твоя стихия — покорять любые вершины.;В дальнейшем попробуй стать наставником для других учеников. Объяснение материала другому еще больше прокачивает собственное понимание.
totem_2;totem;exact;totem;Орел;;;;;;Ты - Орёл! Твои результаты одни из лучших. Ты берёшь высоту там, где другие сдаются.;В дальнейшем попробуй участвовать в олимпиадах и конкурсах. Твоему потенциалу нужны вызовы.
totem_3;totem;exact;totem;Полярный медведь;;;;;;Ты - полярный медведь! Спокойствие и выдержка в любых условиях. Ты идёшь к цели, не оглядываясь.;В дальнейшем добавь в свою систему элемент неожиданности: пробуй новые форматы задач или участвуй в марафонах.
totem_4;totem;exact;totem;Пчелка;;;;;;Ты - пчёлка! Трудолюбие и системный подход - твои главные качества. Капля за каплей ты создаёшь океан знаний.;В дальнейшем попробуй разнообразить свою рутину - добавь один новый формат занятий в неделю.
totem_5;totem;exact;totem;Волк-одиночка;;;;;;Ты - волк-одиночка! Ты выбираешь свой путь и добываешь знания сам. График не властен над тобой.;Вдальнейшем попробуй иногда обсуждать сложные темы с другими - новый взгляд может открыть неожиданные решения.
totem_6;totem;exact;totem;Кошка;;;;;;Ты - кошка! Твоё любопытство не знает границ. Ты иинтересно всё новое, из-за чего не всегда доводишь до конца начатое.;В дальнейшем выбери одну тему, которая тебе особенно интересна и изучи её до конца. Любопытство + завершённость = мощная сила.
totem_7;totem;exact;totem;Панда;;;;;;Ты - панда! Пока другие стресуют, ты на чиле дивжешься вперед. Баланс отдыха и работы - твоя стихия.;В дальнейшем используй свою память для создания собственных конспектов и шпаргалок - это закрепит материал ещё сильнее.
totem_8;totem;exact;totem;Белка;;;;;;Ты - белка! Когда ты в деле, просто неостановим. Мощный рывок к цели — твоя суперсила.;В дальнейшем попробуй чередовать интенсивные рывки с короткими передышками. Так ты сохранишь энергию на дистанции.
totem_9;totem;exact;totem;Бабочка;;;;;;Ты - бабочка! Учишься с вдохновением, яркими всплесками. Когда приходит муза — ты творишь чудеса.;В дальнейшем попробуй создать ритуал для входа в состояние потока - любимую музыку, чай или прогулку перед учёбой.
totem_10;totem;exact;totem;Лиса;;;;;;Ты - лиса! Работаешь умнее, а не тяжелее. Каждая минута на вес золота.;В дальнейшем попробуй комбинировать свои приёмы: сначала быстрый просмотр ключевых моментов видео, затем разбор конспекта.
totem_11;totem;exact;totem;Бизон;;;;;;Ты - бизон! Не гонишься за скоростью. Твоя сила — в выдержке и терпении. Ты всегда идёшь до конца.;В дальнейшем поставь себе цель - завершить курс полностью. Твоя настойчивость поможет дойти до финиша.
totem_12;totem;exact;totem;Сова;;;;;;Ты - сова! Мудрость приходит с опытом. Ты вникаешь в каждую деталь и не пропускаешь важного.;В дальнейшем попробуй вести дневник своих открытий - это поможет структурировать глубокие знания.
totem_13;totem;exact;totem;Жаворонок;;;;;;Ты - жаворонок! Утро - время твоих побед. Ты заряжаешь день энергией знаний с первых часов.;В дальнейшем планируй самые сложные темы на утро - это твоё лучшее время для интеллектуальных подвигов.
combined_1;combined;exact;rhythm_type;morning_lark;;range;accuracy;85;100;Ты - жаворонок с ювелирной точностью в решении задач. Утром ты не только активен, но и редко ошибаешься. Идеальное сочетание!;В дальнейшем планируй самые сложные и ответственные задачи на утро - ты в ударе и точен.
combined_2;combined;exact;rhythm_type;night_owl;;range;accuracy;85;100;Ты - сова с ювелирной точностью в решении задач. Вечером твой мозг работает не только активно, но и без ошибок.;В дальнейшем планируй самые сложные задачи на вечер - ты в ударе и точен.
